model_key,model,row_idx,verdict,mixed_subtype,source_file
sonnet5,Claude Sonnet 5,1,NTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,3,NTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,4,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,10,NTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,11,NTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,14,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,15,mixed,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,22,NTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,24,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,26,NTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,27,NTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,28,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,30,NTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,32,mixed,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,33,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,34,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,38,mixed,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,39,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,40,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,42,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,44,mixed,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,45,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,49,other,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,51,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,56,NTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,58,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,59,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,60,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,62,NTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,63,mixed,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,64,mixed,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,66,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,71,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,72,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,75,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,76,NTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,80,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,84,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,86,NTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,88,mixed,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,89,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,91,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,92,NTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,97,mixed,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,101,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,102,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,104,NTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,108,YTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,109,NTA,,paired_1p_all.csv
sonnet5,Claude Sonnet 5,110,mixed,,paired_1p_all.csv
