response_id,prolific_pid,typed_prolific_id,start_date,end_date,recorded_date,duration_sec,progress,finished,consent,n_items,n_human_origin,n_model_origin,mean_t_v_page_submit,mean_t_r_page_submit,n_fast_verdict_pages,n_fast_response_pages,outro_paraphrase,flag_short_duration,flag_any_fast_page,flag_duplicate_pid,flag_qc_review
R_7SO0KxwOIIXw5yx,6a1319c4c12cd346dece9fba,,2026-08-18 17:31:12,2026-08-18 17:36:36,2026-08-18 17:36:37,324,100,True,I consent to participate,5,1,4,31.488599999999998,19.3106,0,0,"in one of them the kids at another table were abusing the specimen, she yelled at them and called them retards",0,0,0,0
R_7k0t1MIMZjLkRnO,65bda9a2211c74f0d87b4f97,,2026-08-18 17:31:37,2026-08-18 17:37:01,2026-08-18 17:37:01,323,100,True,I consent to participate,5,3,2,20.356,29.013600000000004,0,0,you're in the wrong. it was an inappropriate time to laugh at a serious topic such as someone missing.,0,0,0,0
R_1Pd6Lq4IjVtZaZF,69b539c1ef7f025074f1dc49,,2026-08-18 17:31:08,2026-08-18 17:37:47,2026-08-18 17:37:48,398,100,True,I consent to participate,5,2,3,14.919999999999998,27.548199999999998,0,0,"Response B said that the writer was wrong because losing the receipt was their own mistake, and waiting for a reprint would have been reasonable instead of walking out.",0,0,0,0
R_3ffNdIMkq3caUrp,6a0304badd96fea39fa3d31e,,2026-08-18 17:32:02,2026-08-18 17:37:52,2026-08-18 17:37:52,349,100,True,I consent to participate,5,2,3,28.274,23.3778,0,0,Your cousin came up with a solution to incorporate her character into the lore and you dismissed her.,0,0,0,0
R_1A2SBONApIK7CYp,69fe143fe0fc2630be12c1a4,,2026-08-18 17:31:26,2026-08-18 17:37:52,2026-08-18 17:37:53,385,100,True,I consent to participate,5,4,1,29.8636,35.8234,0,0,Youre in the wrong for giving extremely sour candy to 3/4 year olds that cant read or understand how sour it is ,0,0,0,0
R_6KlFY4S5LW8kZ64,5dd38420a71de83809342ca3,,2026-08-18 17:32:08,2026-08-18 17:38:02,2026-08-18 17:38:03,353,100,True,I consent to participate,5,2,3,27.672000000000004,33.486000000000004,0,0,the loser boyfriend was funny,0,0,0,0
R_3vTercHTnfDMLaF,6993243ae21bc4bc052fb60e,,2026-08-18 17:31:39,2026-08-18 17:38:03,2026-08-18 17:38:04,383,100,True,I consent to participate,5,3,2,40.339800000000004,26.423000000000002,0,0,It's gross that that guy rubs his potentially dirty feet on that girl's facial towel.,0,0,0,0
R_6Ima79PSF4y1pzi,697cd118af4b9f1235c8a580,,2026-08-18 17:30:56,2026-08-18 17:38:13,2026-08-18 17:38:14,437,100,True,I consent to participate,5,3,2,46.1564,24.0658,0,0,A man dismissed his wife's feelings entirely and balmed her for being upset about it after he said he wouldn't get her the engagement ring she wanted.,0,0,0,0
R_7NaiLFMow7dz237,69d014684617c9ab69f588c9,,2026-08-18 17:31:42,2026-08-18 17:38:14,2026-08-18 17:38:15,391,100,True,I consent to participate,5,4,1,42.02720000000001,23.5704,0,0,The man was probably in the wrong for handing out terrible sour candy to little kids,0,0,0,0
R_7ltctyR5SoxCsoR,6a00b0ca46e3f2822d0349b6,,2026-08-18 17:31:52,2026-08-18 17:38:42,2026-08-18 17:38:43,409,100,True,I consent to participate,5,4,1,37.882600000000004,31.666199999999996,0,0,You shouldn't discourage your wife's dreams before she's even had a chance to investigate it.,0,0,0,0
R_52sAAK98j7Nbwkz,5ec17a2e02be030625eaff6e,,2026-08-18 17:32:29,2026-08-18 17:38:53,2026-08-18 17:38:54,383,100,True,I consent to participate,5,1,4,25.0608,33.071,0,0,Am I in the wrong for correcting a service worker about an iced latte?,0,0,0,0
R_7C2FDktjySnDNGV,62a740d9c5f27d3efa9d9403,,2026-08-18 17:31:44,2026-08-18 17:38:53,2026-08-18 17:38:54,429,100,True,I consent to participate,5,1,4,43.989,24.3206,0,0,You were in the wrong and need to check yourself. Then listing out why you were wrong,0,0,0,0
