model,row_idx,rec_raw,verdict_1p,verdict_3p
Claude Sonnet 5,3,0.156479334279087,NTA,NTA
Claude Sonnet 5,10,-0.2064992593024374,NTA,mixed
Claude Sonnet 5,24,0.4206285873391115,YTA,YTA
Claude Sonnet 5,60,-0.858848265335327,YTA,YTA
Claude Sonnet 5,75,0.1792615792429785,YTA,YTA
Claude Sonnet 5,84,-0.4086954466397154,YTA,YTA
Claude Sonnet 5,88,-0.8011816971974832,mixed,NTA
Claude Sonnet 5,91,0.1473848944529927,YTA,YTA
Claude Sonnet 5,102,-0.3310916748840989,YTA,YTA
Claude Sonnet 5,112,-0.2824526207644787,NTA,NTA
Claude Sonnet 5,132,0.2318835207876691,mixed,mixed
Claude Sonnet 5,135,0.1515405037289899,YTA,mixed
Claude Sonnet 5,151,-0.2535486601680529,YTA,NTA
Claude Sonnet 5,179,-0.8293962780120072,NTA,NTA
Claude Sonnet 5,182,-0.7268714330850354,YTA,NTA
Claude Sonnet 5,186,0.3866084172914433,NTA,mixed
Claude Sonnet 5,192,-0.2313668322997603,YTA,NTA
Claude Sonnet 5,200,-0.1195459217519343,mixed,NTA
Claude Sonnet 5,213,-0.6572524950936479,YTA,YTA
Claude Sonnet 5,222,-1.2638283539050952,YTA,YTA
Claude Sonnet 5,225,-0.3487201234278813,NTA,NTA
Claude Sonnet 5,241,0.5051101522420572,NTA,NTA
Claude Sonnet 5,246,-0.1468682059650838,YTA,YTA
Claude Sonnet 5,287,-0.2313668322997603,YTA,NTA
Claude Sonnet 5,290,-0.4080950295441164,NTA,YTA
Claude Sonnet 5,334,0.5941257191589424,NTA,mixed
Claude Sonnet 5,340,-1.373859095209484,YTA,YTA
Claude Sonnet 5,361,0.460434206700968,NTA,NTA
Claude Sonnet 5,383,0.2732289290273904,NTA,NTA
Claude Sonnet 5,386,1.179675109006701,NTA,NTA
Claude Sonnet 5,396,0.0266289258547469,NTA,NTA
Claude Sonnet 5,420,-0.3405669838910167,YTA,YTA
Claude Sonnet 5,447,0.2334002109984847,YTA,NTA
Claude Sonnet 5,451,0.1291537707817187,NTA,NTA
Claude Sonnet 5,452,0.6206426811975145,mixed,NTA
Claude Sonnet 5,453,0.5586470161247097,mixed,mixed
Claude Sonnet 5,455,-0.3447694192308626,YTA,mixed
Claude Sonnet 5,462,-0.1268128019227429,YTA,YTA
Claude Sonnet 5,465,0.1145302296595481,other,mixed
Claude Sonnet 5,468,-0.768820537704574,YTA,YTA
Claude Sonnet 5,473,-1.2707140833868615,YTA,YTA
Claude Sonnet 5,493,0.1604300384761057,mixed,mixed
Claude Sonnet 5,499,0.1324170834563416,NTA,mixed
Claude Sonnet 5,509,-0.1718759837908494,NTA,NTA
Claude Sonnet 5,510,0.6884974245490496,mixed,NTA
Claude Sonnet 5,524,-0.4332187497625578,YTA,YTA
Claude Sonnet 5,526,-0.9926493779566856,NTA,NTA
Claude Sonnet 5,530,-0.8616505257098528,NTA,NTA
Claude Sonnet 5,546,-0.4785705318522213,NTA,NTA
Claude Sonnet 5,565,0.8209848235316077,mixed,mixed
Claude Sonnet 5,602,-0.1204839427569453,YTA,NTA
Claude Sonnet 5,609,-0.1152476683962164,YTA,NTA
Claude Sonnet 5,647,0.0369481763858812,mixed,mixed
Claude Sonnet 5,653,0.3805130796101771,mixed,YTA
Claude Sonnet 5,658,0.203957540194702,YTA,NTA
Claude Sonnet 5,660,0.0446551444470423,YTA,YTA
Claude Sonnet 5,671,0.1996361881719348,YTA,NTA
Claude Sonnet 5,674,0.1950680054475864,YTA,mixed
Claude Sonnet 5,685,-0.5959238229803423,NTA,YTA
Claude Sonnet 5,702,-0.9509051784161257,YTA,NTA
Claude Sonnet 5,705,0.0594835906481914,mixed,mixed
Claude Sonnet 5,715,0.091665937091465,NTA,NTA
Claude Sonnet 5,722,0.2631597884820561,mixed,YTA
Claude Sonnet 5,727,-0.4976939521248697,mixed,mixed
Claude Sonnet 5,748,0.3805130796101771,mixed,YTA
Claude Sonnet 5,749,0.3601922118271805,YTA,YTA
Claude Sonnet 5,768,-0.0401877517621147,NTA,YTA
Claude Sonnet 5,786,-1.0957668372201153,YTA,YTA
Claude Sonnet 5,805,-0.4514498734338317,YTA,YTA
Claude Sonnet 5,808,0.1786611621473796,YTA,mixed
Claude Sonnet 5,829,0.3525870990172099,mixed,NTA
Claude Sonnet 5,843,-0.4329626025414393,mixed,NTA
Claude Sonnet 5,857,0.3911859165353289,mixed,NTA
Claude Sonnet 5,858,0.5513712923648262,YTA,YTA
Claude Sonnet 5,860,-0.8293962780120072,YTA,YTA
Claude Sonnet 5,886,0.6541010423707765,NTA,NTA
Claude Sonnet 5,891,0.4257552615364564,mixed,NTA
Claude Sonnet 5,901,0.4300672970396864,YTA,NTA
Claude Sonnet 5,916,-0.4660734145560023,YTA,YTA
Claude Sonnet 5,921,0.086604249066581,YTA,YTA
Claude Sonnet 5,923,-1.1370396323606178,NTA,NTA
Claude Sonnet 5,958,0.1388555427855233,YTA,mixed
Claude Sonnet 5,963,-0.137429496264509,YTA,NTA
Claude Sonnet 5,974,-0.1380331926443266,YTA,NTA
Claude Sonnet 5,975,-0.9615780153412774,YTA,YTA
Claude Sonnet 5,990,0.2960144532755006,NTA,NTA
Claude Sonnet 5,999,-0.1614917470872544,YTA,NTA
Claude Sonnet 5,1017,0.2534616522761441,NTA,NTA
Claude Sonnet 5,1021,0.1210639939043243,other,YTA
Claude Sonnet 5,1030,-0.877189580085883,YTA,YTA
Claude Sonnet 5,1043,0.6541010423707765,mixed,mixed
Claude Sonnet 5,1049,-1.1749389237472156,YTA,YTA
Claude Sonnet 5,1056,0.1210639939043243,other,mixed
Claude Sonnet 5,1060,-0.1189422253721167,NTA,NTA
Claude Sonnet 5,1062,-0.7971886634227933,NTA,NTA
Claude Sonnet 5,1064,0.1525286300820683,NTA,NTA
Claude Sonnet 5,1083,-0.5953234058847433,NTA,NTA
Claude Sonnet 5,1084,-0.8296557045173444,YTA,YTA
Claude Sonnet 5,1098,0.1093864940304726,YTA,mixed
Claude Sonnet 5,1100,0.3385639749906383,NTA,NTA
Claude Sonnet 5,1138,-0.0550696981372964,YTA,NTA
Claude Sonnet 5,1150,0.1430899203814934,mixed,mixed
Claude Sonnet 5,1160,0.222188663865976,YTA,mixed
Claude Sonnet 5,1168,0.0497988800761178,NTA,NTA
Claude Sonnet 5,1172,-0.7965416132185626,YTA,NTA
Claude Sonnet 5,1180,-0.1032214825695929,mixed,NTA
Claude Sonnet 5,1185,0.250662671185837,NTA,NTA
Claude Sonnet 5,1195,-1.209385411273556,YTA,YTA
Claude Sonnet 5,1207,0.0759314121414291,NTA,NTA
Claude Sonnet 5,1258,-0.512921189626858,mixed,NTA
Claude Sonnet 5,1261,-1.1843776334477905,YTA,YTA
Claude Sonnet 5,1263,-0.0761008241512034,YTA,NTA
Claude Sonnet 5,1264,-0.1539334603411324,YTA,YTA
Claude Sonnet 5,1266,0.4832428296161275,mixed,NTA
Claude Sonnet 5,1269,0.0491951836963002,NTA,NTA
Claude Sonnet 5,1270,0.2804897719628805,YTA,mixed
Claude Sonnet 5,1272,0.4765675229518429,NTA,NTA
Claude Sonnet 5,1284,-0.7439364941914184,YTA,YTA
Claude Sonnet 5,1287,0.4094170402066028,NTA,mixed
Claude Sonnet 5,1294,-0.0916166618747485,mixed,NTA
Claude Sonnet 5,1299,-0.3123033993886375,mixed,NTA
Claude Sonnet 5,1314,-0.4080950295441164,NTA,NTA
Claude Sonnet 5,1318,-1.2318558393634054,YTA,YTA
Claude Sonnet 5,1319,-0.7026042771833114,YTA,NTA
Claude Sonnet 5,1323,-0.591386041762977,YTA,mixed
Claude Sonnet 5,1329,-0.5396430567444085,YTA,mixed
Claude Sonnet 5,1352,-0.2633292004918302,NTA,NTA
Claude Sonnet 5,1363,0.3911859165353289,mixed,mixed
Claude Sonnet 5,1377,-0.2177757926074069,YTA,YTA
Claude Sonnet 5,1380,0.1859220050828696,NTA,NTA
Claude Sonnet 5,1382,-0.6986535729862926,YTA,YTA
Claude Sonnet 5,1386,0.6465427556246546,mixed,mixed
Claude Sonnet 5,1389,0.1293586758606973,mixed,NTA
Claude Sonnet 5,1397,0.156479334279087,NTA,mixed
Claude Sonnet 5,1416,-1.0528296062474984,YTA,NTA
Claude Sonnet 5,1440,0.2261393680629947,YTA,YTA
Claude Sonnet 5,1463,0.6005961207442485,NTA,NTA
Claude Sonnet 5,1467,-0.0153201787647917,NTA,mixed
Claude Sonnet 5,1480,-0.430877274508008,mixed,NTA
Claude Sonnet 5,1484,-0.7995756619806471,YTA,YTA
Claude Sonnet 5,1485,0.6005961207442485,mixed,NTA
Claude Sonnet 5,1504,0.4279912855257921,YTA,YTA
Claude Sonnet 5,1508,0.2360391300636664,NTA,mixed
Claude Sonnet 5,1510,-0.3931272185474653,NTA,mixed
Claude Sonnet 5,1512,-0.9615780153412774,YTA,mixed
Claude Sonnet 5,1513,0.1671521712042388,NTA,NTA
Claude Sonnet 5,1515,-0.9621817117210948,NTA,NTA
Claude Sonnet 5,1518,0.7042352287833042,NTA,NTA
Claude Sonnet 5,1533,0.3765623754131584,NTA,NTA
Claude Sonnet 5,1534,0.3765623754131584,NTA,NTA
Claude Sonnet 5,1545,0.8331443369184144,NTA,mixed
Claude Sonnet 5,1553,-1.2719346673781111,YTA,YTA
Claude Sonnet 5,1555,0.5432181528279616,YTA,NTA
Claude Sonnet 5,1590,-0.1721645840124063,YTA,NTA
Claude Sonnet 5,1598,0.0604067308288089,YTA,NTA
Claude Sonnet 5,1604,-0.5959238229803423,YTA,YTA
Claude Sonnet 5,1609,0.9586827098395244,NTA,mixed
Claude Sonnet 5,1612,0.621246377577332,NTA,NTA
