row_idx,model,source,speaker,validation,indirectness,framing,framing_v2,positivity,rec_raw
1,GPT-5.6 Terra,human,Human,1,0,1,1,0,-0.01927088296181051
1,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,0.002910944906482138
3,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.892433288103704
3,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.24844836392197617
4,GPT-5.6 Terra,human,Human,0,0,1,0,0,-1.3584302319127357
4,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,1,1,-0.3748960948761914
10,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.6210751135848713
10,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,1,1,-0.06182040467694827
11,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.5047465033005314
11,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,0.002910944906482138
14,GPT-5.6 Terra,human,Human,0,1,1,1,0,-0.4479812713027699
14,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,0,-0.1341364189577685
15,GPT-5.6 Terra,human,Human,0,1,0,0,0,-0.1664305776373514
15,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,0.15706960502506628
24,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.0152189150824575
24,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.012517918390266
26,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.6911261180835819
26,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,-0.01927088296181051
27,GPT-5.6 Terra,human,Human,1,0,1,1,0,-0.9938732412321538
27,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.05569088628527297
28,GPT-5.6 Terra,human,Human,0,0,1,0,0,-0.7562451769244916
28,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,-0.2302172402507022
30,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.690836496609699
30,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.29099788563711393
32,GPT-5.6 Terra,human,Human,0,0,1,1,0,-1.793754604407198
32,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.748504085999869
33,GPT-5.6 Terra,human,Human,1,0,1,1,0,-0.2336231970050456
33,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,0.12086465313020212
34,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.8238761071072944
34,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.397678339840083
38,GPT-5.6 Terra,human,Human,0,1,0,0,0,-1.5809941130968588
38,GPT-5.6 Terra,rewrite,Rewrite,1,1,0,0,1,-0.2064992593024374
39,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.4883819040194099
39,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.2909978856371139
40,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.9959996650581054
40,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-1.1832280413987324
42,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.4429288582474122
42,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.4776258448821418
44,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.42084829406145385
44,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.39767833984008305
45,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.1779659465317601
45,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.2064992593024374
49,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.791557191633471
49,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.5004080898460335
51,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.538371045583178
51,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.7217711368389585
56,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.8784102526301341
56,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.1843174314341448
58,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.0076044857529498
58,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.4815765490791605
59,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.4925936558787929
59,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.10376950929648698
63,GPT-5.6 Terra,human,Human,0,1,1,0,0,-0.6070152010063847
63,GPT-5.6 Terra,rewrite,Rewrite,1,1,1,0,1,0.08740957124115867
64,GPT-5.6 Terra,human,Human,0,0,0,1,0,-1.0076044857529498
64,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.2484483639219761
66,GPT-5.6 Terra,human,Human,1,0,1,0,0,-0.5424965592610741
66,GPT-5.6 Terra,rewrite,Rewrite,1,1,0,1,1,-0.0815876814281943
71,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.9474242574621372
71,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.2949485898341326
75,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.6065262280665713
75,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,1,1,-0.1736445945089929
76,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.3584302319127357
76,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.74790366890427
80,GPT-5.6 Terra,human,Human,0,0,1,1,0,-0.9966000821537044
80,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,1,1,-0.2949485898341326
84,GPT-5.6 Terra,human,Human,0,0,0,1,0,-0.9009240315499808
84,GPT-5.6 Terra,rewrite,Rewrite,0,0,0,0,0,-0.5384934646953504
86,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.2159379690030122
86,GPT-5.6 Terra,rewrite,Rewrite,1,1,0,1,1,-0.16455015468289863
88,GPT-5.6 Terra,human,Human,0,0,0,0,0,-2.1244535702049916
88,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.0815876814281943
89,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.5456586082533623
89,GPT-5.6 Terra,rewrite,Rewrite,1,1,1,0,1,-0.3830547987179124
91,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.0267814061996308
91,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.3748960948761914
92,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.3511781139279265
92,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.1843174314341448
97,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.8020580113142521
97,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,-0.435676740262603
101,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.499513822812048
101,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.1611474772127739
102,GPT-5.6 Terra,human,Human,1,0,1,0,0,-1.3283056873250605
102,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.10376950929648698
104,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.7837950228114092
104,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.2864467643444962
108,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.5958225592980082
108,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.3904643229684415
109,GPT-5.6 Terra,human,Human,0,0,0,0,0,-2.162811474238258
109,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.2797246316163631
112,GPT-5.6 Terra,human,Human,0,0,1,0,0,-1.8013488995591938
112,GPT-5.6 Terra,rewrite,Rewrite,1,1,1,0,1,-0.988698673759667
115,GPT-5.6 Terra,human,Human,0,0,1,1,0,-1.0076044857529498
115,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.9351320452448968
119,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.6022435728179985
119,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,1,1,-0.5345427604983317
121,GPT-5.6 Terra,human,Human,0,0,1,0,0,-0.9048747357469996
121,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,-0.3788467990732101
123,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.0501540074680875
123,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.4545952554562729
124,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.7790274218883831
124,GPT-5.6 Terra,rewrite,Rewrite,1,1,0,0,1,-0.49714477717141065
125,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.6567787395931639
125,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.0618236839611668
127,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.6567787395931639
127,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.39707792274448406
130,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.4727251154452126
130,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.1843174314341448
132,GPT-5.6 Terra,human,Human,0,0,1,1,0,-1.2438070609903842
132,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,-0.12595133716477963
